EquipID,License#,Year,Make,Model,Description,Dept,InServiceDate,Estimated Replacement Year,Equipment Type,InServiceCost,Asset Weight Category,System Group,Fuel Type
F0419,,2007,DAKO,FIRE,BOAT - STEEL HULL - 106,SFD,05/15/2007,0,BOAT - FIRE,"$20,000,000.00",OFFROAD HEAVY,OTHER,NON
32528,,1984,NICH,BOAT,BOAT - ALUMINUM HULL - 96,SFD,01/01/1984,2034,BOAT - FIRE,"$11,500,000.00",OFFROAD HEAVY,OTHER,DSL
F0418,,2007,META,FIRE,BOAT - ALUMINUM HULL - 50,SFD,05/15/2007,,BOAT - FIRE,"$2,100,000.00",OFFROAD LIGHT,OTHER,NON
33422,,2014,META,FIRE,BOAT FAST ATTACK FIREBOAT - 50 FT,SFD,06/29/2015,,BOAT - FIRE,"$2,012,309.39",OFFROAD LIGHT,OTHER,NON
33456,,2015,RZMA,TOUR BOAT,TOUR BOAT,SCL,05/11/2016,2055,BOAT,"$1,621,742.97",OFFROAD LIGHT,OTHER,DSL
34814,71413D,2020,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,01/13/2021,2039,FIRE - LADDER TRUCK,"$1,565,409.07",CLASS 8,FIRE APPARATUS,DSL
33939,66188D,2017,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,05/22/2018,2036,FIRE - LADDER TRUCK,"$1,414,348.64",CLASS 8,FIRE APPARATUS,DSL
33938,66123D,2017,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,03/09/2018,2036,FIRE - LADDER TRUCK,"$1,403,710.31",CLASS 8,FIRE APPARATUS,DSL
35130,72761D,2021,PIER,ARROWXT,TRUCK - HEAVY RESCUE,SFD,11/10/2022,2040,TRUCK - HEAVY,"$1,320,126.24",CLASS 8,TRUCK,DSL
80416,44195D,2006,SPAR,DIAMOND,TRUCK - AIR COMPRESSOR SUPPLY,SFD,01/01/2007,,TRUCK - HEAVY,"$1,315,612.00",CLASS 8,TRUCK,DSL
33964,64662D,2017,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,07/31/2017,2035,FIRE - LADDER TRUCK,"$1,299,810.46",CLASS 8,FIRE APPARATUS,DSL
33549,61769D,2016,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,10/17/2016,2034,FIRE - LADDER TRUCK,"$1,244,307.01",CLASS 8,FIRE APPARATUS,DSL
32536,59384D,2015,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,04/02/2015,2033,FIRE - LADDER TRUCK,"$1,198,244.99",CLASS 8,FIRE APPARATUS,DSL
35509,74685D,2023,FREI,114SD,CO2 VAULT FIRE RESPONSE,SCL,05/23/2023,2048,TRUCK - HEAVY,"$1,198,122.90",CLASS 8,TRUCK,DSL
32151,57722D,2013,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,02/27/2014,2032,FIRE - LADDER TRUCK,"$1,173,376.25",CLASS 8,FIRE APPARATUS,DSL
33923,66750D,2018,PIER,ARROWXT,HAZMAT UNIT,SFD,10/05/2018,2038,TRUCK - HEAVY,"$1,172,124.58",CLASS 8,FIRE APPARATUS,DSL
31980,56129D,2013,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,06/25/2013,2030,FIRE - LADDER TRUCK,"$1,143,689.99",CLASS 8,FIRE APPARATUS,DSL
32095,57079D,2013,COND,170S,TRUCK - AERIAL LIFT - 170`,SCL,11/04/2013,2033,TRUCK - AERIAL - BUCKET,"$1,116,130.44",CLASS 8,TRUCK,DSL
80406,44193D,2006,PIER,ARROWXT,TRUCK - HEAVY RESCUE,SFD,05/02/2007,0,TRUCK - HEAVY RESCUE TRUCK,"$1,100,000.00",CLASS 8,TRUCK,DSL
80407,42575D,2006,PIER,ARROWXT,TRUCK - HAZMAT UNIT,SFD,10/31/2006,,TRUCK - HAZMAT UNIT,"$1,100,000.00",CLASS 8,TRUCK,DSL
31499,54315D,2011,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,02/29/2012,2029,FIRE - LADDER TRUCK,"$1,073,607.11",CLASS 8,FIRE APPARATUS,DSL
30940,57707D,2010,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,09/01/2010,2028,FIRE - LADDER TRUCK,"$1,071,935.22",CLASS 8,FIRE APPARATUS,DSL
95440,50679D,2009,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,10/01/2009,2025,FIRE - LADDER TRUCK,"$1,044,117.03",CLASS 8,FIRE APPARATUS,DSL
95441,50678D,2009,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,10/01/2009,2026,FIRE - LADDER TRUCK,"$1,042,923.65",CLASS 8,FIRE APPARATUS,DSL
30862,47990D,2009,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,03/01/2010,2027,FIRE - LADDER TRUCK,"$1,040,708.86",CLASS 8,FIRE APPARATUS,DSL
32141,57708D,2013,PIER,ARROWXT,TRUCK - HEAVY RESCUE,SFD,02/14/2014,2033,TRUCK - HEAVY RESCUE TRUCK,"$970,170.05",CLASS 8,TRUCK,DSL
35818,80518D,2024,PIER,ENFORCER,PUMPER - TOP MOUNTED CONTROLS,SFD,01/30/2025,2042,FIRE - PUMPER,"$905,013.96",CLASS 8,FIRE APPARATUS,DSL
35819,80519D,2024,PIER,ENFORCER,PUMPER - TOP MOUNTED CONTROLS,SFD,01/29/2025,2042,FIRE - PUMPER,"$901,861.39",CLASS 8,FIRE APPARATUS,DSL
35693,79192D,2021,PETE,567,DIGGER DERRICK,SCL,08/30/2024,2040,TRUCK - DIGGER DERRICK,"$876,607.00",CLASS 8,TRUCK,DSL
35541,73865D,2021,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,11/28/2022,2039,FIRE - PUMPER,"$872,931.90",CLASS 8,FIRE APPARATUS,DSL
35540,73864D,2021,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/19/2023,2040,FIRE - PUMPER,"$872,748.57",CLASS 8,FIRE APPARATUS,DSL
32394,,1948,CUST,TUGBOAT,BOAT TUG 40 FOOT,SCL,01/01/1948,2018,BOAT,"$850,000.00",OFFROAD HEAVY,OTHER,DSL
70765,51418D,2010,PETE,340,TRUCK - OIL PROCESSING - CLASS 8,SCL,02/24/2010,2030,TRUCK - HEAVY,"$847,342.00",CLASS 8,TRUCK,DSL
78386,49430D,2008,INTR,7400,TRUCK - CABLE PULLER - CLASS 8,SCL,03/02/2009,2023,TRUCK - CABLE PULLER,"$829,697.82",CLASS 8,TRUCK,DSL
35161,72634D,2021,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,12/23/2021,2038,FIRE - PUMPER,"$799,571.04",CLASS 8,FIRE APPARATUS,DSL
35162,72635D,2021,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,11/13/2021,2038,FIRE - PUMPER,"$795,816.31",CLASS 8,FIRE APPARATUS,DSL
34815,70184D,2020,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,03/23/2020,2037,FIRE - PUMPER,"$782,694.54",CLASS 8,FIRE APPARATUS,DSL
34816,70183D,2020,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,03/23/2020,2037,FIRE - PUMPER,"$782,532.03",CLASS 8,FIRE APPARATUS,DSL
30901,51398D,2010,PETE,367,TRUCK - UNDERBRIDGE INSPECTION - CLASS 8,SDOT,04/14/2010,2029,TRUCK - HEAVY,"$762,744.64",CLASS 8,TRUCK,DSL
71610,24245D,1997,SMPR,500KW,GENERATOR - TRAILER MOUNTED,SCL,08/05/1997,2017,GENERATOR,"$750,000.00",OFFROAD HEAVY,TRAILER,DSL
33543,62462D,2017,PETE,348,HEAVY TRUCK WITH LARGE MOUNTED CRANE,SCL,03/17/2017,2032,TRUCK - HEAVY,"$740,067.00",CLASS 8,TRUCK,DSL
36409,80701D,2025,INTR,EMV607,TRUCK-AERIAL-55FT-6X4>PEV,SCL,11/14/2025,2037,TRUCK - AERIAL - BUCKET,"$738,367.00",CLASS 8,TRUCK,ELE
36224,80428D,2024,PETE,567,VACTOR 2WD,DPR,11/04/2024,2031,TRUCK - HEAVY,"$725,349.09",CLASS 8,TRUCK,DSL
35708,78594D,2021,PETE,567,TRUCK-AERIAL-95FT-6X6>DSL (AF),SCL,10/27/2023,2039,TRUCK - AERIAL - BUCKET,"$717,987.98",CLASS 8,TRUCK,DSL
34310,66106D,2017,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/12/2018,2036,FIRE - PUMPER,"$716,511.36",CLASS 8,FIRE APPARATUS,DSL
33942,66145D,2017,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,04/17/2018,2036,FIRE - PUMPER,"$715,865.07",CLASS 8,FIRE APPARATUS,DSL
33943,66146D,2017,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/26/2018,2036,FIRE - PUMPER,"$709,645.34",CLASS 8,FIRE APPARATUS,DSL
33940,66103D,2017,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/26/2018,2036,FIRE - PUMPER,"$709,001.16",CLASS 8,FIRE APPARATUS,DSL
33941,66144D,2017,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/26/2018,2036,FIRE - PUMPER,"$708,683.85",CLASS 8,FIRE APPARATUS,DSL
31835,55933D,2012,PIER,ARROWXT,TRUCK - MASS CASUALTY UNIT,SFD,12/28/2012,2032,TRUCK - HEAVY RESCUE TRUCK,"$693,475.52",CLASS 8,TRUCK,DSL
35691,80103D,2023,TSEI,PTV100-72-SLRC,TRAILER-CABLE PULLING-FRICTION DRIVE-20K>DS,SCL,05/10/2024,2044,NONE,"$673,906.00",CLASS 6,TRAILER,DSL
33474,WN?41669,2014,RBSW,S50,100 TON BARGE,SCL,09/14/2015,2065,BOAT,"$669,150.00",OFFROAD HEAVY,OTHER,NON
35670,74681D,2023,FREI,114SD,TRUCK - EDUCTOR - VACTOR 2100I,SPU,03/21/2023,2030,TRUCK - EDUCTOR,"$667,071.83",CLASS 8,TRUCK,DSL
65419,46781D,2006,SPAR,GLADTR,AERIAL - TRACTOR DRAWN,SFD,10/31/2007,2024,FIRE - LADDER TRUCK,"$664,615.87",CLASS 8,FIRE APPARATUS,DSL
33950,63785D,2017,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,05/19/2017,2034,FIRE - PUMPER,"$663,385.70",CLASS 8,FIRE APPARATUS,DSL
33951,63786D,2017,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,05/19/2017,2034,FIRE - PUMPER,"$663,161.73",CLASS 8,FIRE APPARATUS,DSL
33525,61742D,2016,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,10/25/2016,2034,FIRE - PUMPER,"$658,841.42",CLASS 8,FIRE APPARATUS,DSL
33526,61743D,2016,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,08/15/2016,2033,FIRE - PUMPER,"$641,682.17",CLASS 8,FIRE APPARATUS,DSL
36377,80434D,2025,PETE,548,TRUCK-VAC-POLE-6YD-4X2>DSL (HOT WATER),SCL,02/24/2025,2041,TRUCK - HEAVY,"$639,215.63",CLASS 7,TRUCK,DSL
35225,80104D,2023,TSEI,PTV100-72-SLRC,TRAILER-CABLE PULLING-FRICTION DRIVE-20K>DSL,SCL,05/10/2024,2044,NONE,"$637,905.56",CLASS 6,TRAILER,DSL
34875,80106D,2020,PETE,348,TRUCK 68` AERIAL -CLASS 8,SCL,04/09/2024,2040,TRUCK - AERIAL - BUCKET,"$635,687.00",CLASS 8,TRUCK,DSL
34351,76552D,2018,PETE,348,TRUCK-AERIAL-68FT-6X4>DSL (AB),SCL,07/18/2023,2039,TRUCK - AERIAL - BUCKET,"$631,074.86",CLASS 8,TRUCK,DSL
33060,61303D,2016,PETE,348,SPD LARGE MOBILE PRECINCT,SPD,11/25/2015,2033,COMMAND CENTER - POLICE,"$627,951.72",CLASS 8,TRUCK,DSL
34355,71636D,2019,PETE,348,AERIAL BUCKET TRUCK 68 FT,SCL,12/30/2020,2034,TRUCK - AERIAL - BUCKET,"$627,784.93",CLASS 8,TRUCK,DSL
32539,59675D,2015,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,08/07/2015,2032,FIRE - PUMPER,"$627,739.95",CLASS 8,FIRE APPARATUS,DSL
32537,59673D,2015,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,06/24/2015,2033,FIRE - PUMPER,"$626,867.88",CLASS 8,FIRE APPARATUS,DSL
32144,58879D,2014,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/10/2015,2032,FIRE - PUMPER,"$626,743.93",CLASS 8,FIRE APPARATUS,DSL
32538,59674D,2015,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,06/11/2015,2032,FIRE - PUMPER,"$625,463.01",CLASS 8,FIRE APPARATUS,DSL
34350,67448D,2018,PETE,348,DIGGER DERRICK,SCL,07/18/2019,2035,TRUCK - DIGGER DERRICK,"$623,569.00",CLASS 8,TRUCK,DSL
32146,58881D,2014,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/17/2015,2033,FIRE - PUMPER,"$622,462.86",CLASS 8,FIRE APPARATUS,DSL
32424,,2012,KVCH,TUGBOAT,BOAT TUG 26 FOOT,SCL,09/24/2012,2042,BOAT,"$622,011.82",OFFROAD HEAVY,OTHER,DSL
32142,57706D,2013,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/26/2014,2031,FIRE - PUMPER,"$619,266.99",CLASS 8,FIRE APPARATUS,DSL
32145,58880D,2014,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/02/2015,2033,FIRE - PUMPER,"$617,578.37",CLASS 8,FIRE APPARATUS,DSL
32143,57705D,2013,PIER,ARROWXT,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/03/2014,2031,FIRE - PUMPER,"$617,064.36",CLASS 8,FIRE APPARATUS,DSL
34736,,2018,WIRT,W120CFI,ASPHALT GRINDER,SDOT,05/09/2018,2030,GRINDER,"$614,304.89",OFFROAD HEAVY,CONSTRUCTION,DSL
35007,,2019,WIRT,W120XFI,ASPHALT GRINDER,SDOT,05/07/2020,2032,GRINDER,"$612,684.29",OFFROAD HEAVY,CONSTRUCTION,DSL
34352,67180D,2019,PETE,348,VACTOR HYDRO-EXCAVATOR 9 YARD,SCL,10/15/2019,2029,TRUCK - EDUCTOR,"$593,507.00",CLASS 8,TRUCK,DSL
35696,72952D,2022,PETE,348,TRUCK - HYDRO EXCAVATOR CATCH,SCL,11/30/2021,2031,TRUCK - EDUCTOR,"$578,768.06",CLASS 8,TRUCK,DSL
34380,,2018,BNTZ,CREWBOAT,36 FOOT CREW BOAT,SCL,04/24/2019,2032,BOAT,"$575,507.37",OFFROAD LIGHT,OTHER,DSL
32426,,2011,KVCH,TUGBOAT,BOAT TUG 26 FOOT,SCL,04/06/2011,2041,BOAT,"$575,000.00",OFFROAD HEAVY,OTHER,DSL
31840,55946D,2012,PETE,348,TRUCK 68` AERIAL -CLASS 8,SCL,08/14/2014,2030,TRUCK - AERIAL - BUCKET,"$574,929.03",CLASS 8,TRUCK,DSL
30941,71707D,2010,EMER,QUEST,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,11/01/2010,2028,FIRE - PUMPER,"$569,636.43",CLASS 8,FIRE APPARATUS,DSL
33888,66214D,2017,PETE,348,DIGGER DERRICK,SCL,08/09/2018,2033,TRUCK - DIGGER DERRICK,"$567,235.00",CLASS 8,TRUCK,DSL
32101,55945D,2012,PETE,348,TRUCK 68` AERIAL -CLASS 8,SCL,09/24/2014,2030,TRUCK - AERIAL - BUCKET,"$555,126.38",CLASS 8,TRUCK,DSL
30886,47992D,2009,EMER,QUEST,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,03/01/2010,2028,FIRE - PUMPER,"$551,890.80",CLASS 8,FIRE APPARATUS,DSL
31639,54062D,2011,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,03/08/2012,2029,FIRE - PUMPER,"$549,032.24",CLASS 8,FIRE APPARATUS,DSL
31638,54061D,2011,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,03/08/2012,2029,FIRE - PUMPER,"$547,323.50",CLASS 8,FIRE APPARATUS,DSL
86393,44372D,2005,FREI,UNKN,COMMAND VEHICLE,SPD,01/01/2005,2025,COMMAND CENTER - POLICE,"$546,790.00",CLASS 8,TRUCK,DSL
36135,,2023,CATP,950M-BR,LOADER - WHEEL,SPU,09/01/2023,2029,LOADER - WHEEL,"$544,561.13",CLASS 8,CONSTRUCTION,DSL
36136,,2023,CATP,950M-BR,LOADER - WHEEL,SPU,09/01/2023,2029,LOADER - WHEEL,"$544,561.13",CLASS 8,CONSTRUCTION,DSL
985329,29892D,1998,AMLF,EAGLE,AERIAL - TRACTOR DRAWN,SFD,10/07/1999,2016,FIRE - LADDER TRUCK,"$543,249.42",CLASS 8,FIRE APPARATUS,DSL
85433,47953D,2008,EMER,QUEST,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,04/01/2009,2027,FIRE - PUMPER,"$537,053.39",CLASS 8,FIRE APPARATUS,DSL
85431,47954D,2008,EMER,QUEST,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,05/07/2009,2027,FIRE - PUMPER,"$536,559.47",CLASS 8,FIRE APPARATUS,DSL
33715,62738D,2017,PETE,348,ALTC AH75 AERIAL - CLASS 8,SCL,02/01/2017,2033,TRUCK - HEAVY,"$536,383.52",CLASS 8,TRUCK,DSL
85432,47960D,2008,EMER,QUEST,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,05/01/2009,2027,FIRE - PUMPER,"$536,328.07",CLASS 8,FIRE APPARATUS,DSL
35224,72953D,2022,PETE,348,HYDRO EXCAVATOR POLE VAC,SCL,04/26/2022,2032,TRUCK - EDUCTOR,"$534,546.81",CLASS 8,TRUCK,DSL
31843,55943D,2012,PETE,348,TRUCK 68` AERIAL -CLASS 8,SCL,10/16/2014,2030,TRUCK - AERIAL - BUCKET,"$526,634.99",CLASS 8,TRUCK,DSL
31838,54925D,2012,PETE,348,TRUCK - DIGGER DERRICK - CLASS 8,SCL,01/07/2014,2030,TRUCK - DIGGER DERRICK,"$526,250.71",CLASS 8,TRUCK,DSL
33053,59377D,2015,PETE,348,TRUCK CABLE PULLER CLASS 8,SCL,01/27/2016,2026,TRUCK - CABLE PULLER,"$525,396.00",CLASS 8,TRUCK,DSL
31841,55944D,2012,PETE,348,TRUCK 68` AERIAL -CLASS 8,SCL,09/25/2014,2030,TRUCK - AERIAL - BUCKET,"$524,426.90",CLASS 8,TRUCK,DSL
32314,57086D,2014,PETE,348,TRUCK 68` AERIAL -CLASS 8,SCL,05/07/2015,2031,TRUCK - AERIAL - BUCKET,"$522,840.28",CLASS 8,TRUCK,DSL
32315,57085D,2014,PETE,348,TRUCK 68` AERIAL - CLASS 8,SCL,05/07/2015,2031,TRUCK - AERIAL - BUCKET,"$520,457.34",CLASS 8,TRUCK,DSL
35806,80441D,2024,PETE,520,TRUCK FLUSHER-DEICER,SDOT,09/27/2024,2039,NONE,"$513,606.87",CLASS 8,TRUCK,DSL
35805,80440D,2023,PETE,520,TRUCK 2WD FLUSHER-DEICER,SDOT,10/25/2024,2039,TRUCK - HEAVY,"$511,246.11",CLASS 8,TRUCK,DSL
32866,59309D,2014,PETE,348,TRUCK AERIAL LIFT ALTEC AH75 CLASS 8,SCL,09/10/2015,2031,TRUCK - AERIAL - BUCKET,"$510,623.67",CLASS 8,TRUCK,DSL
75425,47476D,2007,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,03/17/2008,2026,FIRE - PUMPER,"$505,422.24",CLASS 8,FIRE APPARATUS,DSL
75422,46797D,2007,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/15/2008,2025,FIRE - PUMPER,"$505,281.07",CLASS 8,FIRE APPARATUS,DSL
35804,80492D,2023,PETE,520,FLUSHER-DEICER,SDOT,10/25/2024,2039,TRUCK - HEAVY,"$505,130.38",CLASS 8,TRUCK,DSL
75423,71667D,2007,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,03/27/2008,2025,FIRE - PUMPER,"$505,080.02",CLASS 8,FIRE APPARATUS,DSL
75426,47475D,2007,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/29/2008,2026,FIRE - PUMPER,"$504,409.13",CLASS 8,FIRE APPARATUS,DSL
75424,74671D,2007,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/29/2008,2026,FIRE - PUMPER,"$504,115.95",CLASS 8,FIRE APPARATUS,DSL
32867,59310D,2014,PETE,348,TRUCK AERIAL LIFT ALTEC AH75 CLASS 8,SCL,07/29/2015,2031,TRUCK - AERIAL - BUCKET,"$502,779.67",CLASS 8,TRUCK,DSL
35682,,2021,CATP,966M,LOADER WHEEL LOADER/TOOL CARRIER - SOLID WASTE,SPU,08/22/2022,2032,LOADER - WHEEL,"$502,124.00",OFFROAD HEAVY,CONSTRUCTION,DSL
35729,,2021,CATP,966M,LOADER -WHEEL LOADER-SOLID WASTE/TOOL CARRIER,SPU,10/18/2022,2032,LOADER - WHEEL,"$502,124.00",OFFROAD HEAVY,CONSTRUCTION,DSL
33626,64381D,2017,PETE,337,LAMPLIGHTER,SDOT,01/11/2018,2027,TRUCK - HEAVY,"$500,804.99",CLASS 8,TRUCK,DSL
75016,41623D,2006,PETE,335,TRUCK - HOOKLIFT - MULTIBODY,SCL,04/04/2006,2021,TRUCK - HEAVY,"$500,000.00",CLASS 8,TRUCK,DSL
32149,57724D,2013,PETE,348,TRUCK - EDUCTOR - VACTOR,SPU,04/07/2014,2025,TRUCK - EDUCTOR,"$494,360.79",CLASS 8,TRUCK,DSL
32148,57723D,2013,PETE,348,TRUCK - EDUCTOR - VACTOR,SPU,03/18/2014,2025,TRUCK - EDUCTOR,"$493,018.00",CLASS 8,TRUCK,DSL
65413,43994D,2006,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,02/12/2007,2024,FIRE - PUMPER,"$491,306.41",CLASS 8,FIRE APPARATUS,DSL
32084,,2012,GROV,RT540E,CRANE ROUGH TERRAIN 40TON 4X4,SCL,01/08/2013,2028,CRANE,"$488,234.22",OFFROAD HEAVY,TRUCK,DSL
35555,75015D,2023,PETE,567,TRUCK - 23 TON CRANE,SDOT,04/20/2023,2033,TRUCK - HEAVY,"$480,986.16",CLASS 8,TRUCK,DSL
65411,43996D,2006,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/08/2007,2024,FIRE - PUMPER,"$479,388.86",CLASS 8,FIRE APPARATUS,DSL
65416,43997D,2006,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,12/19/2006,2023,FIRE - PUMPER,"$478,118.42",CLASS 8,FIRE APPARATUS,DSL
65412,43995D,2006,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/22/2007,2024,FIRE - PUMPER,"$477,771.81",CLASS 8,FIRE APPARATUS,DSL
65417,43992D,2006,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,10/31/2006,2023,FIRE - PUMPER,"$477,064.51",CLASS 8,FIRE APPARATUS,DSL
65414,43993D,2006,EMER,CYCLONE,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,11/21/2006,2022,FIRE - PUMPER,"$476,483.45",CLASS 8,FIRE APPARATUS,DSL
34301,71108D,2020,FORD,F550,MEDIC AID VAN - HORTON,SFD,10/06/2020,2028,MEDIC UNIT,"$470,092.34",CLASS 5,MEDIC UNIT,DSL
36327,81990D,2023,LENC,BEARCAT,ARMORED RESCUE VEHICLE,SPD,06/12/2025,2035,TRUCK - HEAVY,"$467,231.40",CLASS 5,TRUCK,DSL
31839,54926D,2012,PETE,348,TRUCK DIGGER DERRICK - CLASS 8,SCL,02/04/2014,2030,TRUCK - DIGGER DERRICK,"$467,184.68",CLASS 8,TRUCK,DSL
33054,,2015,CATP,M313D,EXCAVATOR - WHEELED,SCL,12/22/2015,2035,EXCAVATOR,"$466,394.03",OFFROAD HEAVY,CONSTRUCTION,DSL
32524,57733D,2014,PETE,337,TRUCK AERIAL LIFT 40 FOOT,SCL,09/23/2016,2030,TRUCK - AERIAL - BUCKET,"$462,742.00",CLASS 8,TRUCK,DSL
35949,,2024,CATP,430,EQUIP-BACKHOE LOADER-4X4>DSL,SCL,05/06/2025,2035,LOADER - BACKHOE,"$462,040.48",OFFROAD HEAVY,CONSTRUCTION,DSL
34044,,2017,DYNP,F1000T,10FT PAVER,SDOT,04/14/2017,2029,PAVER,"$461,147.75",OFFROAD HEAVY,CONSTRUCTION,DSL
32523,57732D,2014,PETE,337,TRUCK AERIAL LIFT 40 FOOT,SCL,08/11/2016,2030,TRUCK - AERIAL - BUCKET,"$459,650.00",CLASS 8,TRUCK,DSL
36212,79199D,2024,PETE,548,TRUCK 2WD - POTHOLE PATCH,SDOT,07/17/2024,2030,TRUCK - HEAVY,"$457,550.58",CLASS 8,TRUCK,DSL
36076,79421D,2024,PETE,567,12 YARD DUMP TRUCK SPREADER AND PLOW,SDOT,01/21/2025,2035,TRUCK - HEAVY,"$456,686.67",CLASS 8,TRUCK,DSL
32513,,2014,CATP,D6N,TRACTOR CRAWLER,SCL,10/31/2014,2034,CRAWLER,"$455,431.00",OFFROAD HEAVY,CONSTRUCTION,DSL
36078,79423D,2024,PETE,567,12 YARD DUMP TRUCK SPREADER AND PLOW,SDOT,01/03/2025,2035,TRUCK - DUMP TRUCK,"$455,291.68",CLASS 8,TRUCK,DSL
36075,79420D,2024,PETE,567,12 YARD DUMP TRUCK SPREADER AND PLOW,SDOT,01/09/2025,2035,TRUCK - HEAVY,"$454,637.64",CLASS 8,TRUCK,DSL
36077,79422D,2024,PETE,567,12 YARD DUMP TRUCK SPREADER AND PLOW,SDOT,12/20/2024,2034,TRUCK - HEAVY,"$454,470.91",CLASS 8,TRUCK,DSL
35471,68615D,2021,PETE,348,TRUCK - EDUCTOR VACTOR,SPU,03/05/2021,2028,TRUCK - EDUCTOR,"$452,883.21",CLASS 8,TRUCK,DSL
70753,,2010,CATP,320D,EXCAVATOR - 22 TON,SCL,01/04/2009,2030,EXCAVATOR,"$450,000.00",OFFROAD HEAVY,CONSTRUCTION,DSL
71209,,2001,GROV,RT530E,TRUCK - CRANE - 30 TON - 4X4,SCL,11/08/2000,2031,TRUCK - HEAVY,"$450,000.00",CLASS 8,TRUCK,DSL
31715,,2011,CATP,140M2AWCB,MOTOR GRADER - W/SNOW PLOW,SCL,08/01/2011,2031,GRADER,"$443,027.62",OFFROAD HEAVY,CONSTRUCTION,DSL
